Date,Dealer Code,Daily Sales ($),Prior MTD ($),Current MTD ($),YoY MTD ($),YoY MTD (%)
2024-01-02,D001,4155,76957,81112,79985,1.41
2024-01-06,D001,5893,93557,99450,97426,2.08
2024-01-08,D001,3624,64178,67802,69526,-2.48
2024-01-08,D001,3612,96971,100583,102896,-2.25
2024-01-11,D001,4849,71226,76075,73316,3.76
2024-01-15,D001,4572,56298,60870,57241,6.34
2024-01-17,D001,4734,63117,67851,63636,6.62
2024-02-08,D001,5640,95242,100882,100215,0.67
2024-02-18,D001,6747,77412,84159,86867,-3.12
2024-02-27,D001,6963,69982,76945,76712,0.3
2024-03-02,D001,4230,59369,63599,62742,1.37
2024-03-02,D001,3464,97361,100825,98060,2.82
2024-03-07,D001,4928,64980,69908,65891,6.1
2024-03-08,D001,5541,78464,84005,86954,-3.39
2024-03-08,D001,6611,90721,97332,95955,1.44
2024-03-12,D001,4110,70389,74499,70070,6.32
2024-03-15,D001,3946,75762,79708,80874,-1.44
2024-03-30,D001,4943,68672,73615,76069,-3.23
2024-04-02,D001,3504,92581,96085,92606,3.76
2024-04-02,D001,3238,82972,86210,86603,-0.45
2024-04-07,D001,5705,72481,78186,75293,3.84
2024-04-11,D001,5082,85634,90716,91470,-0.82
2024-04-12,D001,6348,88892,95240,90403,5.35
2024-04-15,D001,6260,82019,88279,88134,0.16
2024-04-16,D001,6730,55793,62523,61000,2.5
2024-04-16,D001,6303,66061,72364,74482,-2.84
2024-04-26,D001,6736,81899,88635,87888,0.85
2024-05-10,D001,3068,90280,93348,89443,4.37
2024-05-10,D001,5526,95063,100589,102885,-2.23
2024-05-12,D001,5280,66907,72187,72794,-0.83
2024-05-22,D001,3615,59941,63556,62731,1.32
2024-05-26,D001,4310,97055,101365,98592,2.81
2024-06-12,D001,3546,60433,63979,60133,6.4
2024-06-16,D001,6920,95588,102508,97743,4.88
2024-06-19,D001,6098,58066,64164,63267,1.42
2024-06-20,D001,6549,92238,98787,97629,1.19
2024-07-08,D001,3380,65819,69199,70671,-2.08
2024-07-11,D001,5606,94179,99785,96879,3
2024-07-11,D001,6000,51085,57085,52386,8.97
2024-07-16,D001,5094,92723,97817,98013,-0.2
2024-07-27,D001,5810,88784,94594,91334,3.57
2024-07-30,D001,5987,96934,102921,101218,1.68
2024-08-03,D001,6388,81971,88359,89863,-1.67
2024-08-06,D001,5836,97028,102864,104313,-1.39
2024-08-14,D001,6115,60220,66335,67681,-1.99
2024-08-15,D001,3753,55639,59392,60357,-1.6
2024-08-18,D001,3110,98784,101894,103650,-1.69
2024-08-18,D001,4564,56074,60638,61290,-1.06
2024-08-22,D001,5353,92861,98214,95113,3.26
2024-08-26,D001,5548,85897,91445,93224,-1.91
2024-09-05,D001,4284,58254,62538,63008,-0.75
2024-09-05,D001,6262,98617,104879,101042,3.8
2024-09-14,D001,5361,74509,79870,78313,1.99
2024-09-16,D001,4062,81285,85347,81692,4.47
2024-09-23,D001,5520,97025,102545,99251,3.32
2024-09-24,D001,5307,65732,71039,67947,4.55
2024-09-24,D001,3870,96476,100346,102481,-2.08
2024-09-27,D001,6160,75041,81201,77124,5.29
2024-10-04,D001,5401,84540,89941,90981,-1.14
2024-10-08,D001,6764,98542,105306,102393,2.84
2024-10-09,D001,6266,65115,71381,69232,3.1
2024-10-09,D001,4386,66076,70462,66278,6.31
2024-10-17,D001,4855,99652,104507,105274,-0.73
2024-10-18,D001,3024,59764,62788,59644,5.27
2024-10-21,D001,3276,73616,76892,78086,-1.53
2024-10-21,D001,4238,65321,69559,64677,7.55
2024-10-21,D001,5770,53692,59462,58597,1.48
2024-10-30,D001,5903,88973,94876,93481,1.49
2024-10-31,D001,4795,80399,85194,83508,2.02
2024-11-02,D001,6471,86345,92816,92578,0.26
2024-11-03,D001,6818,63273,70091,65162,7.56
2024-11-04,D001,3261,72778,76039,76869,-1.08
2024-11-04,D001,3158,91745,94903,96100,-1.25
2024-11-06,D001,3517,62763,66280,67280,-1.49
2024-11-10,D001,6567,81643,88210,90041,-2.03
2024-11-14,D001,5264,87921,93185,94291,-1.17
2024-11-16,D001,3539,56499,60038,58283,3.01
2024-11-20,D001,3515,77663,81178,81339,-0.2
2024-11-25,D001,4755,57032,61787,57653,7.17
2024-11-25,D001,3852,67921,71773,68608,4.61
2024-11-30,D001,6678,79024,85702,83915,2.13
2024-11-30,D001,4753,67706,72459,69503,4.25
2024-12-02,D001,6010,59689,65699,64845,1.32
2024-12-11,D001,6227,92548,98775,99286,-0.51
2024-12-13,D001,3189,50504,53693,55479,-3.22
2024-12-18,D001,3398,75727,79125,74621,6.04
2024-12-20,D001,4255,62615,66870,68404,-2.24
2024-12-20,D001,3799,94172,97971,96934,1.07
2024-12-29,D001,4284,99666,103950,106502,-2.4
2024-01-03,D002,5743,91232,96975,97048,-0.08
2024-01-04,D002,6209,90166,96375,92632,4.04
2024-01-05,D002,5076,76962,82038,81319,0.88
2024-01-05,D002,5475,86378,91853,90598,1.39
2024-01-05,D002,6164,56569,62733,64242,-2.35
2024-01-06,D002,6641,80020,86661,84130,3.01
2024-01-10,D002,3516,96714,100230,101365,-1.12
2024-01-11,D002,4894,89897,94791,95086,-0.31
2024-01-28,D002,6225,55142,61367,57505,6.72
2024-01-29,D002,3212,74858,78070,73341,6.45
2024-02-01,D002,4129,78363,82492,79348,3.96
2024-02-22,D002,6682,96326,103008,104949,-1.85
2024-03-01,D002,4138,89743,93881,94329,-0.47
2024-03-02,D002,6802,56548,63350,64057,-1.1
2024-03-05,D002,3683,84063,87746,83077,5.62
2024-03-07,D002,4158,62342,66500,65453,1.6
2024-03-14,D002,5510,79661,85171,82944,2.68
2024-03-31,D002,6235,54042,60277,58047,3.84
2024-04-01,D002,5002,55280,60282,59038,2.11
2024-04-09,D002,4425,59732,64157,66627,-3.71
2024-04-13,D002,6854,57263,64117,63623,0.78
2024-04-17,D002,6357,55680,62037,63874,-2.88
2024-04-19,D002,5972,85745,91717,90368,1.49
2024-04-21,D002,4036,69363,73399,69658,5.37
2024-04-21,D002,5574,97372,102946,101225,1.7
2024-04-26,D002,6676,82548,89224,90237,-1.12
2024-05-03,D002,6863,60825,67688,64379,5.14
2024-05-11,D002,3596,56054,59650,61145,-2.45
2024-05-13,D002,5605,64385,69990,72313,-3.21
2024-05-31,D002,4238,79505,83743,84530,-0.93
2024-06-04,D002,4097,65701,69798,69262,0.77
2024-06-06,D002,3464,89015,92479,89302,3.56
2024-06-27,D002,3877,99938,103815,104706,-0.85
2024-07-10,D002,3574,55704,59278,59046,0.39
2024-07-13,D002,3470,61382,64852,63361,2.35
2024-07-28,D002,3125,79163,82288,81708,0.71
2024-07-30,D002,3579,51663,55242,51766,6.71
2024-08-03,D002,6895,58752,65647,65996,-0.53
2024-08-06,D002,6696,51300,57996,58497,-0.86
2024-08-23,D002,4359,65437,69796,72325,-3.5
2024-09-03,D002,6383,81133,87516,89215,-1.9
2024-09-05,D002,6016,68880,74896,71934,4.12
2024-09-05,D002,4134,73645,77779,75250,3.36
2024-09-09,D002,4757,67776,72533,71783,1.04
2024-09-20,D002,5630,86343,91973,94098,-2.26
2024-09-20,D002,4248,76234,80482,78325,2.75
2024-09-27,D002,3898,54234,58132,57368,1.33
2024-09-27,D002,6472,61023,67495,65220,3.49
2024-09-29,D002,5873,51150,57023,53678,6.23
2024-10-05,D002,3316,84270,87586,90166,-2.86
2024-10-07,D002,3883,51212,55095,52398,5.15
2024-10-14,D002,4161,85719,89880,92151,-2.46
2024-10-23,D002,6581,94997,101578,104006,-2.33
2024-11-04,D002,6687,76727,83414,82396,1.24
2024-11-04,D002,4995,74009,79004,81910,-3.55
2024-11-05,D002,4386,69250,73636,71848,2.49
2024-11-06,D002,3738,50545,54283,54822,-0.98
2024-11-08,D002,3078,87538,90616,87783,3.23
2024-11-11,D002,5741,52077,57818,55103,4.93
2024-11-16,D002,4066,55432,59498,56062,6.13
2024-11-16,D002,4458,65995,70453,65610,7.38
2024-11-27,D002,5168,95865,101033,103056,-1.96
2024-11-30,D002,5762,63703,69465,65272,6.42
2024-12-05,D002,5139,73483,78622,80144,-1.9
2024-12-09,D002,3583,79759,83342,82554,0.95
2024-12-11,D002,4268,69249,73517,68824,6.82
2024-12-16,D002,5056,64685,69741,70610,-1.23
2024-12-17,D002,3977,58012,61989,63344,-2.14
2024-12-25,D002,5131,92026,97157,92324,5.23
2024-12-26,D002,5988,62455,68443,69028,-0.85
2024-01-05,D003,5777,60109,65886,66000,-0.17
2024-01-06,D003,4999,88679,93678,93175,0.54
2024-01-11,D003,5865,88394,94259,92745,1.63
2024-01-12,D003,6977,75496,82473,84785,-2.73
2024-01-12,D003,3194,52537,55731,55889,-0.28
2024-01-17,D003,6149,65053,71202,73901,-3.65
2024-01-19,D003,3923,72631,76554,79314,-3.48
2024-01-28,D003,5373,99131,104504,106565,-1.93
2024-02-03,D003,5160,52472,57632,57667,-0.06
2024-02-12,D003,5531,86176,91707,89092,2.94
2024-02-19,D003,4430,98423,102853,103940,-1.05
2024-02-24,D003,6649,60978,67627,67530,0.14
2024-02-25,D003,6111,80561,86672,83489,3.81
2024-02-25,D003,4910,74466,79376,75664,4.91
2024-03-01,D003,6398,99047,105445,105695,-0.24
2024-03-02,D003,5180,72152,77332,72625,6.48
2024-03-02,D003,3386,68584,71970,70256,2.44
2024-03-02,D003,4132,92662,96794,96174,0.64
2024-03-08,D003,6836,94953,101789,102283,-0.48
2024-03-13,D003,5695,60106,65801,63612,3.44
2024-03-15,D003,3556,74323,77879,73046,6.62
2024-03-24,D003,4993,53251,58244,55339,5.25
2024-03-24,D003,5203,57830,63033,62786,0.39
2024-03-27,D003,5354,72353,77707,75434,3.01
2024-03-30,D003,5663,97801,103464,105191,-1.64
2024-04-01,D003,3933,56066,59999,58505,2.55
2024-04-02,D003,4626,86484,91110,88868,2.52
2024-04-12,D003,3992,74118,78110,76246,2.44
2024-04-15,D003,6722,54906,61628,59108,4.26
2024-04-16,D003,4447,74709,79156,77273,2.44
2024-04-22,D003,3797,52846,56643,58714,-3.53
2024-04-23,D003,3061,95929,98990,101671,-2.64
2024-04-23,D003,6855,61254,68109,66419,2.54
2024-04-24,D003,4241,96728,100969,97720,3.32
2024-05-01,D003,4275,78546,82821,79367,4.35
2024-05-10,D003,4260,56901,61161,61376,-0.35
2024-05-13,D003,4742,51306,56048,55199,1.54
2024-05-17,D003,6258,81629,87887,86076,2.1
2024-05-31,D003,5101,62183,67284,65561,2.63
2024-06-01,D003,3638,83765,87403,86327,1.25
2024-06-04,D003,3834,50205,54039,54206,-0.31
2024-06-04,D003,4421,74371,78792,81507,-3.33
2024-06-10,D003,5348,74881,80229,83228,-3.6
2024-06-14,D003,6293,72588,78881,76633,2.93
2024-06-15,D003,5439,57804,63243,61412,2.98
2024-06-22,D003,3345,84654,87999,84528,4.11
2024-06-28,D003,4725,68073,72798,72531,0.37
2024-07-04,D003,6170,79265,85435,80681,5.89
2024-07-11,D003,6966,76681,83647,79043,5.82
2024-07-11,D003,5446,88233,93679,91365,2.53
2024-07-12,D003,3974,55229,59203,54815,8.01
2024-07-12,D003,5355,59860,65215,62189,4.87
2024-07-13,D003,3292,89632,92924,91902,1.11
2024-07-14,D003,4893,69659,74552,73502,1.43
2024-07-20,D003,3754,78706,82460,80920,1.9
2024-07-23,D003,4449,61218,65667,62612,4.88
2024-07-24,D003,3798,63750,67548,66599,1.42
